ID,sapServer,usage,databaseServer,programName,activeUsersOfTheProgram,noOfTimesThePgmRunForTheMonth,executionMonth,currentRunningTimeinCPUSeconds,energyConsumptioninMWH,co2EmissioninMG
261,,PROD,,Y0NSD_ZAO0024,,9,Jan,1672,,0.836
262,,PROD,,Y0NSD_ZAO0035,,5,Jan,5481,,2.7405
263,,PROD,,Y0NSD_ZAO0203,,2,Jan,52,,0.026
264,,PROD,,Y0NSD_ZAR0002,,6,Jan,23,,0.0115
265,,PROD,,Y0NSD_ZAR0003,,7,Jan,42,,0.021
266,,PROD,,Y0NSD_ZAR0004,,12,Jan,36989,,18.4945
267,,PROD,,Y0NSD_ZAR0013,,15,Jan,24765,,12.3825
268,,PROD,,Y0NSD_ZAR0023,,5,Jan,7840,,3.92
269,,PROD,,Y0NSD_ZAR0120,,13,Jan,22452,,11.226
270,,PROD,,Y0NSD_ZAR0124,,1,Jan,1,,0.0005
271,,PROD,,Y0NSD_ZAR0203,,1,Jan,3996,,1.998
272,,PROD,,Y0NSD_ZAR0204_1,,2,Jan,79598,,39.799
273,,PROD,,Y0NSD_ZAR0205,,1,Jan,21,,0.0105
274,,PROD,,Y0NSD_ZAR0234,,1,Jan,287,,0.1435
275,,PROD,,Y0NSD_ZAS0002,,16,Jan,24405,,12.2025
276,,PROD,,Y0NSD_ZAS0003,,9,Jan,17465,,8.7325
277,,PROD,,Y0NVX_0000,,1,Jan,329,,0.1645
278,,PROD,,Y0NVX_0006,,1,Jan,1414,,0.707
279,,PROD,,Y0NVX_0018,,1,Jan,120315,,60.1575
280,,PROD,,Y0NVX_0020,,1,Jan,13261,,6.6305
281,,PROD,,Y0NVX_0026,,1,Jan,2412,,1.206
282,,PROD,,Y0NVX_0028,,1,Jan,768,,0.384
283,,PROD,,Y0NVX_0029,,1,Jan,96,,0.048
284,,PROD,,Y0NVX_0045,,1,Jan,78,,0.039
285,,PROD,,Y0NVX_0064,,1,Jan,1079,,0.5395
286,,PROD,,Y0NVX_0068,,1,Jan,1450,,0.725
287,,PROD,,Y0NVX_0069,,1,Jan,72427,,36.2135
288,,PROD,,Y0NVX_0077,,1,Jan,10,,0.005
289,,PROD,,Y0NVX_0078,,1,Jan,2,,0.001
290,,PROD,,Y0NVX_0081,,1,Jan,1235,,0.6175
291,,PROD,,Y0NVX_0084,,1,Jan,857,,0.4285
292,,PROD,,Y0NVX_0090,,1,Jan,2548,,1.274
293,,PROD,,Y0NVX_0091,,1,Jan,48,,0.024
294,,PROD,,Y0NVX_0093,,1,Jan,51,,0.0255
295,,PROD,,Y0NVX_0096,,1,Jan,58,,0.029
296,,PROD,,Y0NVX_0099,,1,Jan,13814,,6.907
297,,PROD,,Y0NVX_0110,,1,Jan,70,,0.035
298,,PROD,,Y0NVX_IPPCR_CREATE,,2,Jan,9312,,4.656
299,,PROD,,Y0NVX_IPPCR_CREATE_PARALLEL,,1,Jan,40,,0.02
300,,PROD,,Y0NVX_KUL_STATUS,,1,Jan,6,,0.003
301,,PROD,,Y0NVX_LIL_STATUS,,1,Jan,5,,0.0025
302,,PROD,,Y0NVX_PDL_STATUS,,1,Jan,39,,0.0195
303,,PROD,,Y0NVX_ZAR0016,,1,Jan,1530,,0.765
304,,PROD,,Y0NVX_ZAR0017,,1,Jan,901,,0.4505
305,,PROD,,Y0NVX_ZAR0049,,1,Jan,4,,0.002
306,,PROD,,Y0NVX_ZAR0071,,53,Jan,2028,,1.014
307,,PROD,,Y0NVX_ZAR0072,,1,Jan,131,,0.0655
308,,PROD,,Y0NVX_ZAR0073,,1,Jan,15,,0.0075
309,,PROD,,Y0NVX_ZAR0076,,3,Jan,324,,0.162
310,,PROD,,Y0NVX_ZAR0081,,1,Jan,6156,,3.078
311,,PROD,,Y0NVX_ZAR0090,,2,Jan,9,,0.0045
312,,PROD,,Y0NVX_ZAR0093,,2,Jan,4138,,2.069
313,,PROD,,Y0NVX_ZAR0103,,1,Jan,4108,,2.054
314,,PROD,,Y0NVX_ZAR0135,,1,Jan,124,,0.062
315,,PROD,,Y0NVX_ZAR0137,,2,Jan,210,,0.105
316,,PROD,,Y0NWM_0002,,1,Jan,2346,,1.173
317,,PROD,,Y0NWM_0002/99/MOBILE.css,,2,Jan,2,,0.001
318,,PROD,,Y0NWM_0003,,1,Jan,7764,,3.882
319,,PROD,,Y0NWM_0005,,1,Jan,11,,0.0055
320,,PROD,,Y0NWM_0007,,1,Jan,87,,0.0435
